wednesday,19:30,"{'Talaso': (116, 393), 'Gimnasio': (87, 236)}"
wednesday,20:00,"{'Talaso': (105, 393), 'Gimnasio': (87, 236)}"
wednesday,20:30,"{'Talaso': (84, 393), 'Gimnasio': (84, 236)}"
wednesday,21:00,"{'Talaso': (57, 393), 'Gimnasio': (69, 236)}"
wednesday,21:30,"{'Talaso': (38, 393), 'Gimnasio': (59, 236)}"
wednesday,22:00,"{'Talaso': (4, 393), 'Gimnasio': (39, 236)}"
wednesday,22:30,"{'Talaso': (-30, 393), 'Gimnasio': (18, 236)}"
thursday,09:30,"{'Talaso': (34, 393), 'Gimnasio': (59, 236)}"
thursday,10:00,"{'Talaso': (45, 393), 'Gimnasio': (68, 236)}"
thursday,10:30,"{'Talaso': (55, 393), 'Gimnasio': (87, 236)}"
thursday,11:00,"{'Talaso': (76, 393), 'Gimnasio': (94, 236)}"
thursday,11:30,"{'Talaso': (92, 393), 'Gimnasio': (97, 236)}"
thursday,12:00,"{'Talaso': (103, 393), 'Gimnasio': (107, 236)}"
thursday,12:30,"{'Talaso': (89, 393), 'Gimnasio': (112, 236)}"
thursday,13:00,"{'Talaso': (99, 393), 'Gimnasio': (106, 236)}"
thursday,13:30,"{'Talaso': (92, 393), 'Gimnasio': (106, 236)}"
thursday,14:00,"{'Talaso': (86, 393), 'Gimnasio': (75, 236)}"
thursday,14:30,"{'Talaso': (80, 393), 'Gimnasio': (59, 236)}"
thursday,15:00,"{'Talaso': (66, 393), 'Gimnasio': (49, 236)}"
thursday,15:30,"{'Talaso': (53, 393), 'Gimnasio': (44, 236)}"
thursday,16:00,"{'Talaso': (73, 393), 'Gimnasio': (56, 236)}"
thursday,16:30,"{'Talaso': (72, 393), 'Gimnasio': (69, 236)}"
thursday,17:00,"{'Talaso': (105, 393), 'Gimnasio': (84, 236)}"
thursday,17:30,"{'Talaso': (120, 393), 'Gimnasio': (91, 236)}"
thursday,18:00,"{'Talaso': (139, 393), 'Gimnasio': (90, 236)}"
thursday,18:30,"{'Talaso': (140, 393), 'Gimnasio': (105, 236)}"
thursday,19:00,"{'Talaso': (144, 393), 'Gimnasio': (128, 236)}"
thursday,19:30,"{'Talaso': (143, 393), 'Gimnasio': (123, 236)}"
thursday,20:00,"{'Talaso': (121, 393), 'Gimnasio': (98, 236)}"
thursday,20:30,"{'Talaso': (113, 393), 'Gimnasio': (87, 236)}"
thursday,21:00,"{'Talaso': (91, 393), 'Gimnasio': (79, 236)}"
thursday,21:30,"{'Talaso': (62, 393), 'Gimnasio': (72, 236)}"
thursday,22:00,"{'Talaso': (36, 393), 'Gimnasio': (46, 236)}"
thursday,22:30,"{'Talaso': (-3, 393), 'Gimnasio': (28, 236)}"
friday,09:30,"{'Talaso': (27, 393), 'Gimnasio': (43, 236)}"
friday,10:00,"{'Talaso': (46, 393), 'Gimnasio': (47, 236)}"
friday,10:30,"{'Talaso': (54, 393), 'Gimnasio': (53, 236)}"
friday,11:00,"{'Talaso': (75, 393), 'Gimnasio': (68, 236)}"
friday,11:30,"{'Talaso': (87, 393), 'Gimnasio': (90, 236)}"
friday,12:00,"{'Talaso': (122, 393), 'Gimnasio': (90, 236)}"
friday,12:30,"{'Talaso': (123, 393), 'Gimnasio': (97, 236)}"
friday,13:00,"{'Talaso': (128, 393), 'Gimnasio': (95, 236)}"
friday,13:30,"{'Talaso': (104, 393), 'Gimnasio': (90, 236)}"
friday,14:00,"{'Talaso': (82, 393), 'Gimnasio': (77, 236)}"
friday,14:30,"{'Talaso': (71, 393), 'Gimnasio': (52, 236)}"
friday,15:00,"{'Talaso': (68, 393), 'Gimnasio': (34, 236)}"
friday,15:30,"{'Talaso': (70, 393), 'Gimnasio': (36, 236)}"
friday,16:00,"{'Talaso': (75, 393), 'Gimnasio': (57, 236)}"
friday,16:30,"{'Talaso': (87, 393), 'Gimnasio': (76, 236)}"
friday,17:00,"{'Talaso': (106, 393), 'Gimnasio': (92, 236)}"
friday,17:30,"{'Talaso': (111, 393), 'Gimnasio': (107, 236)}"
friday,18:00,"{'Talaso': (110, 393), 'Gimnasio': (86, 236)}"
friday,18:30,"{'Talaso': (102, 393), 'Gimnasio': (90, 236)}"
friday,19:00,"{'Talaso': (107, 393), 'Gimnasio': (97, 236)}"
friday,19:30,"{'Talaso': (99, 393), 'Gimnasio': (96, 236)}"
friday,20:00,"{'Talaso': (94, 393), 'Gimnasio': (86, 236)}"
friday,20:30,"{'Talaso': (84, 393), 'Gimnasio': (70, 236)}"
friday,21:00,"{'Talaso': (71, 393), 'Gimnasio': (60, 236)}"
friday,21:30,"{'Talaso': (47, 393), 'Gimnasio': (53, 236)}"
friday,22:00,"{'Talaso': (21, 393), 'Gimnasio': (44, 236)}"
friday,22:30,"{'Talaso': (-1, 393), 'Gimnasio': (30, 236)}"
saturday,09:30,"{'Talaso': (5, 393), 'Gimnasio': (0, 236)}"
saturday,10:00,"{'Talaso': (30, 393), 'Gimnasio': (24, 236)}"
saturday,10:30,"{'Talaso': (47, 393), 'Gimnasio': (47, 236)}"
saturday,11:00,"{'Talaso': (61, 393), 'Gimnasio': (61, 236)}"
saturday,11:30,"{'Talaso': (68, 393), 'Gimnasio': (77, 236)}"
saturday,12:00,"{'Talaso': (84, 393), 'Gimnasio': (80, 236)}"
saturday,12:30,"{'Talaso': (93, 393), 'Gimnasio': (93, 236)}"
saturday,13:00,"{'Talaso': (96, 393), 'Gimnasio': (86, 236)}"
saturday,13:30,"{'Talaso': (100, 393), 'Gimnasio': (84, 236)}"
saturday,14:00,"{'Talaso': (85, 393), 'Gimnasio': (79, 236)}"
saturday,14:30,"{'Talaso': (76, 393), 'Gimnasio': (45, 236)}"
saturday,15:00,"{'Talaso': (70, 393), 'Gimnasio': (17, 236)}"
