day,time,Talaso,Gimnasio
wednesday,10:00,58.5,68.5
wednesday,10:30,74.0,77.16666666666667
wednesday,11:00,90.0,87.16666666666667
wednesday,11:30,94.16666666666667,106.16666666666667
wednesday,12:00,103.83333333333333,114.5
wednesday,12:30,94.0,111.5
wednesday,13:00,87.33333333333333,104.5
wednesday,13:30,69.83333333333333,91.33333333333333
wednesday,14:00,59.833333333333336,74.5
wednesday,14:30,49.833333333333336,61.166666666666664
wednesday,15:00,50.666666666666664,51.5
wednesday,15:30,53.0,53.833333333333336
wednesday,16:00,63.5,65.66666666666667
wednesday,16:30,74.5,80.0
wednesday,17:00,102.16666666666667,95.33333333333333
wednesday,17:30,117.83333333333333,106.5
wednesday,18:00,136.66666666666666,106.16666666666667
wednesday,18:30,140.83333333333334,119.33333333333333
wednesday,19:00,153.33333333333334,126.66666666666667
wednesday,19:30,157.83333333333334,123.5
wednesday,20:00,158.16666666666666,119.83333333333333
wednesday,20:30,139.66666666666666,112.83333333333333
wednesday,21:00,107.66666666666667,101.16666666666667
wednesday,21:30,76.66666666666667,84.83333333333333
wednesday,22:00,38.5,58.666666666666664
wednesday,22:30,2.5,32.833333333333336
